y	x	potential
1.000000	0.000000	0.000000
3.000000	0.000000	0.000000
5.000000	0.000000	0.000000
1.000000	6.000000	1.000000
3.000000	6.000000	1.000000
5.000000	6.000000	1.000000
0.000000	1.000000	0.142857
0.000000	3.000000	0.500000
0.000000	5.000000	0.857143
1.000000	1.000000	0.142857
1.000000	2.000000	0.321429
1.000000	3.000000	0.500000
1.000000	4.000000	0.678571
1.000000	5.000000	0.857143
2.000000	1.000000	0.107143
2.000000	3.000000	0.500000
2.000000	5.000000	0.892857
3.000000	1.000000	0.071429
3.000000	2.000000	0.071429
3.000000	4.000000	0.928571
3.000000	5.000000	0.928571
4.000000	1.000000	0.107143
4.000000	3.000000	0.500000
4.000000	5.000000	0.892857
5.000000	1.000000	0.142857
5.000000	2.000000	0.321429
5.000000	3.000000	0.500000
5.000000	4.000000	0.678571
5.000000	5.000000	0.857143
6.000000	1.000000	0.142857
6.000000	3.000000	0.500000
6.000000	5.000000	0.857143
